symbol,n_trades,win_rate,expectancy_r,trade_sharpe,ci_lower,ci_upper,is_starred,ann_R,total_R,volume_24h
TIAUSDT,13,0.46153846153846156,0.1289052664369039,0.49637266577892164,-0.5561497177321182,0.9791315997369531,False,0.8536602947824672,1.6757684636797507,39284980.3664
CRVUSDT,32,0.375,0.18354710823809178,0.4854807771652246,-0.4238459853613773,1.012019246108748,False,1.1362810387112376,5.873507463618937,32296064.57573
MEMEUSDT,12,0.3333333333333333,0.08921620051454655,0.44624957075542454,-0.4635755372588237,0.7766191217526928,False,0.540103048142621,1.0705944061745587,34718197.2985469
DASHUSDT,35,0.4,0.12166155119705875,0.37583244738387894,-0.369400399524065,0.7718400554739069,False,0.7882873061912822,4.258154291897056,61786874.94
ETHFIUSDT,13,0.38461538461538464,0.08910989222545099,0.3455979651932299,-0.620881052117631,0.9167923035718251,False,0.7040200428610611,1.158428598930863,23323298.90097
FILUSDT,34,0.3235294117647059,0.12984897927439734,0.2908859042329925,-0.5225854250251142,1.0526368994235815,False,0.9043912221643878,4.41486529532951,230231509.377
STORJUSDT,34,0.3235294117647059,0.15791200048760282,0.2547872057073898,-0.6039914324500574,1.487939757576756,False,1.0716011901941507,5.369008016578496,7259245.6859
COMPUSDT,35,0.34285714285714286,0.09008548987774327,0.2412438895328062,-0.49240525161268145,0.8590042184362254,False,0.6001200527486193,3.1529921457210146,9004119.96
ZENUSDT,37,0.21621621621621623,0.10547530922217269,0.20685167639202628,-0.6110919558183809,1.1390767010999001,False,0.7459025105472251,3.9025864412203894,16757719.952
BCHUSDT,33,0.30303030303030304,0.07278954018985083,0.17394046253842313,-0.5821541105439709,0.9167665115351259,False,0.450385279924702,2.4020548262650774,217927428.4
ONTUSDT,38,0.34210526315789475,0.01312493209359456,0.043088336809759285,-0.4899955200773896,0.5966470152205667,False,0.08960526069505445,0.4987474195565933,6833628.8363
AAVEUSDT,35,0.2571428571428571,0.003390504722103917,0.007391777540117743,-0.6099945245336806,1.0377371280644083,False,0.024066276924595193,0.11866766527363709,93042763.852
ENSUSDT,25,0.36,-0.008967827594970012,-0.03417201045963507,-0.5004162902347713,0.5966572219452188,False,-0.056087312141486254,-0.22419568987425031,9188960.258
WLDUSDT,20,0.25,-0.017311955911175826,-0.06455593346533833,-0.6092668925567648,0.7104088803705945,False,-0.15788244435847618,-0.3462391182235165,1291893097.1067
LTCUSDT,34,0.29411764705882354,-0.08959622285399955,-0.2723753300934675,-0.5835230236440099,0.609824180751784,False,-0.5521839670036692,-3.0462715770359847,127688245.8
APTUSDT,21,0.38095238095238093,-0.06875300254904967,-0.3012341772239715,-0.5640180036249068,0.5267033732021713,False,-0.534840484586053,-1.443813053530043,69706325.67012
BATUSDT,40,0.3,-0.1275967338428524,-0.3416792021304152,-0.6087403579495824,0.6307658269973698,False,-0.909803944091788,-5.103869353714096,7668283.272
DYDXUSDT,24,0.3333333333333333,-0.0742183648017477,-0.414517612535248,-0.4414013931654458,0.3783131681703308,False,-0.4363502252529312,-1.781240755241945,16020862.17929
BOMEUSDT,10,0.2,-0.13160940932710777,-0.5020663343451583,-0.9059516488725845,0.9067455952228042,False,-0.8918429824995568,-1.3160940932710776,8845210.5680595
EDUUSDT,17,0.29411764705882354,-0.13168159323965956,-0.5172580038232273,-0.7134242565025464,0.5964242537405158,False,-0.9507487590969257,-2.2385870850742124,11089122.74972
PYTHUSDT,13,0.5384615384615384,-0.0999232099168483,-0.5966423998740907,-0.5880307084707816,0.43785424661832373,False,-0.772736777667223,-1.2990017289190279,13626139.50883
JTOUSDT,13,0.3076923076923077,-0.17171612562856203,-0.6254256886831512,-0.8373033756663221,0.7653572662649565,False,-1.2335114879210585,-2.2323096331713064,67880687.3484
LDOUSDT,20,0.3,-0.1317968046463457,-0.6476481398395291,-0.5776914475673428,0.3735998979835442,False,-0.9091365986228095,-2.6359360929269138,32111923.3962
