pair,entry_time,exit_time,days,entry_z,gross_pct,net_pct,exit_reason
ETHUSDT/LINKUSDT,2021-05-10 00:00:00+00:00,2021-05-19 00:00:00+00:00,9,2.37,-24.127,-24.487,spread_blowout
XRPUSDT/ZECUSDT,2021-05-19 00:00:00+00:00,2021-05-23 00:00:00+00:00,4,3.6,-11.351,-11.711,spread_blowout
BNBUSDT/XRPUSDT,2021-05-19 00:00:00+00:00,2021-06-18 00:00:00+00:00,30,-3.0,21.149,20.789,time_stop
ETHUSDT/LINKUSDT,2021-05-20 00:00:00+00:00,2021-05-21 00:00:00+00:00,1,3.14,-12.591,-12.951,spread_blowout
LINKUSDT/ZECUSDT,2021-05-21 00:00:00+00:00,2021-05-26 00:00:00+00:00,5,-2.52,27.713,27.353,converged
DOGEUSDT/ETHUSDT,2021-05-22 00:00:00+00:00,2021-06-21 00:00:00+00:00,30,2.2,4.895,4.535,time_stop
BNBUSDT/ZECUSDT,2021-05-23 00:00:00+00:00,2021-05-28 00:00:00+00:00,5,2.13,20.783,20.423,converged
DOGEUSDT/SOLUSDT,2021-05-23 00:00:00+00:00,2021-06-08 00:00:00+00:00,16,2.13,89.298,88.938,converged
XRPUSDT/ZECUSDT,2021-05-24 00:00:00+00:00,2021-06-23 00:00:00+00:00,30,2.32,-0.781,-1.141,time_stop
BNBUSDT/ZECUSDT,2021-06-06 00:00:00+00:00,2021-07-06 00:00:00+00:00,30,2.22,-6.666,-7.026,time_stop
LINKUSDT/ZECUSDT,2021-06-18 00:00:00+00:00,2021-07-18 00:00:00+00:00,30,-2.25,-5.002,-5.362,time_stop
COTIUSDT/UNIUSDT,2021-07-04 00:00:00+00:00,2021-08-03 00:00:00+00:00,30,-2.04,0.431,0.071,time_stop
AAVEUSDT/XRPUSDT,2021-07-05 00:00:00+00:00,2021-08-04 00:00:00+00:00,30,2.1,-0.574,-0.934,time_stop
AAVEUSDT/LINKUSDT,2021-07-05 00:00:00+00:00,2021-08-04 00:00:00+00:00,30,2.18,12.553,12.193,time_stop
UNIUSDT/XRPUSDT,2021-07-06 00:00:00+00:00,2021-07-16 00:00:00+00:00,10,2.03,20.776,20.416,converged
AVAXUSDT/COTIUSDT,2021-07-09 00:00:00+00:00,2021-08-08 00:00:00+00:00,30,2.07,12.626,12.266,time_stop
BNBUSDT/COTIUSDT,2021-07-09 00:00:00+00:00,2021-08-08 00:00:00+00:00,30,2.02,11.532,11.172,time_stop
BNBUSDT/UNIUSDT,2021-07-15 00:00:00+00:00,2021-07-30 00:00:00+00:00,15,2.14,16.757,16.397,converged
BNBUSDT/LINKUSDT,2021-07-15 00:00:00+00:00,2021-07-30 00:00:00+00:00,15,2.19,25.688,25.328,converged
COTIUSDT/XRPUSDT,2021-07-20 00:00:00+00:00,2021-08-05 00:00:00+00:00,16,-2.13,18.502,18.142,converged
BTCUSDT/ZECUSDT,2021-07-26 00:00:00+00:00,2021-08-25 00:00:00+00:00,30,2.35,-3.565,-3.925,time_stop
BNBUSDT/BTCUSDT,2021-07-26 00:00:00+00:00,2021-08-09 00:00:00+00:00,14,-2.03,-15.663,-16.023,spread_blowout
BTCUSDT/XRPUSDT,2021-07-27 00:00:00+00:00,2021-08-15 00:00:00+00:00,19,2.43,18.251,17.891,converged
AVAXUSDT/BTCUSDT,2021-07-27 00:00:00+00:00,2021-08-17 00:00:00+00:00,21,-2.33,41.129,40.769,converged
BTCUSDT/UNIUSDT,2021-07-27 00:00:00+00:00,2021-08-26 00:00:00+00:00,30,2.31,0.158,-0.202,time_stop
BTCUSDT/LINKUSDT,2021-07-28 00:00:00+00:00,2021-08-27 00:00:00+00:00,30,2.08,-5.747,-6.107,time_stop
ETHUSDT/ZECUSDT,2021-07-29 00:00:00+00:00,2021-08-07 00:00:00+00:00,9,2.02,-15.882,-16.242,spread_blowout
DOGEUSDT/ETHUSDT,2021-07-29 00:00:00+00:00,2021-08-05 00:00:00+00:00,7,-2.24,-27.361,-27.721,spread_blowout
DOGEUSDT/XRPUSDT,2021-07-29 00:00:00+00:00,2021-08-28 00:00:00+00:00,30,-2.01,-8.65,-9.01,time_stop
DOGEUSDT/LINKUSDT,2021-07-30 00:00:00+00:00,2021-08-29 00:00:00+00:00,30,-2.56,16.006,15.646,time_stop
COTIUSDT/ETHUSDT,2021-07-30 00:00:00+00:00,2021-08-23 00:00:00+00:00,24,-2.25,34.88,34.52,converged
COTIUSDT/LINKUSDT,2021-07-30 00:00:00+00:00,2021-08-13 00:00:00+00:00,14,-2.76,28.905,28.545,converged
LINKUSDT/ZECUSDT,2021-07-30 00:00:00+00:00,2021-08-24 00:00:00+00:00,25,2.47,19.419,19.059,converged
AVAXUSDT/ETHUSDT,2021-08-01 00:00:00+00:00,2021-08-18 00:00:00+00:00,17,-2.28,54.04,53.68,converged
DOGEUSDT/UNIUSDT,2021-08-01 00:00:00+00:00,2021-08-31 00:00:00+00:00,30,-2.2,-2.494,-2.854,time_stop
ETHUSDT/XRPUSDT,2021-08-02 00:00:00+00:00,2021-09-01 00:00:00+00:00,30,2.02,-4.905,-5.265,time_stop
COTIUSDT/DOGEUSDT,2021-08-03 00:00:00+00:00,2021-08-22 00:00:00+00:00,19,2.06,-21.397,-21.757,spread_blowout
LINKUSDT/XRPUSDT,2021-08-03 00:00:00+00:00,2021-08-11 00:00:00+00:00,8,2.59,30.455,30.095,converged
AVAXUSDT/LINKUSDT,2021-08-03 00:00:00+00:00,2021-08-17 00:00:00+00:00,14,-2.39,52.258,51.898,converged
UNIUSDT/ZECUSDT,2021-08-04 00:00:00+00:00,2021-09-03 00:00:00+00:00,30,2.03,1.191,0.831,time_stop
BNBUSDT/ETHUSDT,2021-08-04 00:00:00+00:00,2021-08-23 00:00:00+00:00,19,-2.33,18.141,17.781,converged
ETHUSDT/LINKUSDT,2021-08-05 00:00:00+00:00,2021-08-07 00:00:00+00:00,2,2.32,-9.63,-9.99,spread_blowout
UNIUSDT/XRPUSDT,2021-08-05 00:00:00+00:00,2021-08-14 00:00:00+00:00,9,2.64,29.695,29.335,converged
AAVEUSDT/AVAXUSDT,2021-08-05 00:00:00+00:00,2021-08-17 00:00:00+00:00,12,2.14,30.152,29.792,converged
